name,population
"Kandiyohi County, MN",42855
"Kittson County, MN",4248
"Koochiching County, MN",12440
"Lac qui Parle County, MN",6658
"Lake of the Woods County, MN",3758
"Le Sueur County, MN",28494
"McLeod County, MN",35873
"Mahnomen County, MN",5519
"Meeker County, MN",23141
"Mille Lacs County, MN",26139
"Morrison County, MN",33169
"Mower County, MN",40011
"Nicollet County, MN",34220
"Nobles County, MN",21924
"Norman County, MN",6475
"Olmsted County, MN",156277
"Otter Tail County, MN",58812
"Pennington County, SD",111729
"Pine County, MN",29483
"Pipestone County, MN",9047
"Ramsey County, ND",11481
"Red Lake County, MN",3999
"Redwood County, MN",15249
"Renville County, ND",2374
"Rock County, WI",163129
"Roseau County, MN",15150
"St. Louis County, MO",996945
"Sherburne County, MN",96036
"Sibley County, MN",15028
"Stearns County, MN",159256
"Steele County, ND",1903
"Swift County, MN",9345
"Traverse County, MN",3308
"Wabasha County, MN",21645
"Wadena County, MN",13773
"Waseca County, MN",18691
"Watonwan County, MN",10980
"Wilkin County, MN",6254
"Winona County, MN",50825
"Yellow Medicine County, MN",9795
"Alcorn County, MS",36925
"Amite County, MS",12326
"Attala County, MS",18365
"Bolivar County, MS",31333
"Claiborne County, TN",31756
"Coahoma County, MS",22628
"Copiah County, MS",28543
"Forrest County, MS",75036
"George County, MS",24250
"Grenada County, MS",21055
"Hinds County, MS",237085
"Humphreys County, TN",18486
"Issaquena County, MS",1308
"Itawamba County, MS",23517
"Jefferson Davis County, MS",11234
"Kemper County, MS",10027
"Leake County, MS",22763
"Leflore County, MS",28919
"Neshoba County, MS",29125
"Noxubee County, MS",10535
"Oktibbeha County, MS",49599
"Panola County, TX",23148
"Pearl River County, MS",55387
"Pontotoc County, OK",38247
"Prentiss County, MS",25315
"Rankin County, MS",153902
"Sharkey County, MS",4377
"Sunflower County, MS",25735
"Tallahatchie County, MS",13987
"Tate County, MS",28759
"Tippah County, MS",21995
"Tishomingo County, MS",19454
"Tunica County, MS",9944
"Walthall County, MS",14465
"Yalobusha County, MS",12392
"Yazoo County, MS",28248
"Andrew County, MO",17607
"Audrain County, MO",25473
"Bates County, MO",16320
"Bollinger County, MO",12169
"Callaway County, MO",44889
"Cape Girardeau County, MO",78753
"Chariton County, MO",7451
"Cole County, MO",76796
"Cooper County, MO",17603
"Dent County, MO",15441
"Dunklin County, MO",29423
"Gasconade County, MO",14705
"Gentry County, MO",6628
"Hickory County, MO",9509
"Holt County, NE",10178
"Howell County, MO",40076
"Laclede County, MO",35713
"McDonald County, MO",23078
"Maries County, MO",8769
"Moniteau County, MO",16121
"New Madrid County, MO",17296
"Nodaway County, MO",22304
"Oregon County, MO",10541
"Ozark County, MO",9017
"Pemiscot County, MO",16272
"Pettis County, MO",42542
"Phelps County, NE",8996
"Platte County, WY",8566
"Ralls County, MO",10212
"Ray County, MO",22883
"Reynolds County, MO",6254
"St. Charles County, MO",399182
"Ste. Genevieve County, MO",17888
"St. Francois County, MO",66692
"Scotland County, NC",34810
"Shannon County, MO",8189
"Stoddard County, MO",29206
"Taney County, MO",55852
"Texas County, OK",20455
"Vernon County, WI",30785
"St. Louis city, MO",302838
"Beaverhead County, MT",9404
"Big Horn County, WY",11881
"Broadwater County, MT",6085
"Carbon County, WY",14971
"Cascade County, MT",81643
"Chouteau County, MT",5745
"Daniels County, MT",1747
"Deer Lodge County, MT",9131
"Fallon County, MT",2920
"Fergus County, MT",11113
"Flathead County, MT",102106
"Glacier County, MT",13747
"Golden Valley County, ND",1769
"Granite County, MT",3378
"Hill County, TX",36354
"Judith Basin County, MT",1952
"Lewis and Clark County, MT",68700
"McCone County, MT",1675
"Meagher County, MT",1866
"Missoula County, MT",118791
"Musselshell County, MT",4651
"Petroleum County, MT",513
"Pondera County, MT",5972
"Powder River County, MT",1716
"Ravalli County, MT",43172
"Roosevelt County, NM",18743
"Rosebud County, MT",9063
"Sanders County, MT",11844
"Silver Bow County, MT",34993
"Stillwater County, MT",9534
"Sweet Grass County, MT",3710
"Toole County, MT",4853
"Treasure County, MT",679
"Wheatland County, MT",2236
"Wibaux County, MT",1034
"Yellowstone County, MT",160137
"Antelope County, NE",6336
"Arthur County, NE",465
"Banner County, NE",730
"Box Butte County, NE",10772
"Buffalo County, WI",13125
"Burt County, NE",6488
"Cherry County, NE",5761
"Colfax County, NM",12110
"Cuming County, NE",8940
"Dawes County, NE",8716
"Deuel County, SD",4337
"Dixon County, NE",5709
"Dundy County, NE",1770
"Frontier County, NE",2608
"Furnas County, NE",4715
"Gage County, NE",21493
"Garden County, NE",1897
"Gosper County, NE",1996
"Hayes County, NE",916
"Hitchcock County, NE",2806
"Hooker County, NE",682
"Kearney County, NE",6544
"Keith County, NE",8021
"Keya Paha County, NE",810
"Kimball County, NE",3618
"Lancaster County, VA",10783
"Loup County, NE",618
"Merrick County, NE",7733
"Morrill County, NE",4686
"Nance County, NE",3532
"Nuckolls County, NE",4195
"Otoe County, NE",15985
"Perkins County, SD",2922
"Red Willow County, NE",10726
"Richardson County, NE",7937
"Sarpy County, NE",184459
"Saunders County, NE",21303
"Scotts Bluff County, NE",35989
"Thayer County, NE",5039
"Thurston County, WA",286419
"Churchill County, NV",24440
"Elko County, NV",52460
"Esmeralda County, NV",826
"Eureka County, NV",2003
"Lander County, NV",5575
"Nye County, NV",45346
"Pershing County, NV",6666
"Storey County, NV",4029
"Washoe County, NV",465735
"White Pine County, NV",9475
"Carson City, NV",55414
"Belknap County, NH",61022
"Cheshire County, NH",76493
"Coos County, OR",64389
"Grafton County, NH",89786
"Merrimack County, NH",151132
"Rockingham County, VA",81244
"Strafford County, NH",130090
"Atlantic County, NJ",265429
"Bergen County, NJ",936692
"Burlington County, NJ",445384
"Cape May County, NJ",92560
"Gloucester County, VA",37349
"Hudson County, NJ",676061
"Hunterdon County, NJ",124714
"Monmouth County, NJ",621354
"Ocean County, NJ",601651
"Passaic County, NJ",503310
"Salem County, NJ",62607
"Bernalillo County, NM",678701
"Catron County, NM",3578
"Chaves County, NM",64689
"Cibola County, NM",26746
"Curry County, OR",22813
"De Baca County, NM",1781
"Doña Ana County, NM",217522
"Eddy County, ND",2313
"Guadalupe County, TX",163694
"Harding County, SD",1249
"Hidalgo County, TX",865939
"Lea County, NM",69611
"Los Alamos County, NM",19101
"Luna County, NM",23963
"McKinley County, NM",72290
"Mora County, NM",4506
"Quay County, NM",8253
"Rio Arriba County, NM",39006
"Sandoval County, NM",145179
"Santa Fe County, NM",150056
"Socorro County, NM",16735
"Taos County, NM",32835
"Torrance County, NM",15591
"Valencia County, NM",76456
"Albany County, WY",38601
"Bronx County, NY",1432132
"Broome County, NY",191659
"Cattaraugus County, NY",76840
"Cayuga County, NY",77145
"Chemung County, NY",84254
"Chenango County, NY",47536
"Cortland County, NY",47823
"Dutchess County, NY",293718
"Erie County, PA",272061
"Herkimer County, NY",61833
"New York County, NY",1628701
"Niagara County, NY",210433
"Onondaga County, NY",461809
"Ontario County, NY",109864
"Orleans County, VT",26907
"Oswego County, NY",117898
"Queens County, NY",2278906
"Rensselaer County, NY",159442
"Rockland County, NY",325695
"St. Lawrence County, NY",108047
"Saratoga County, NY",230163
"Schenectady County, NY",155350
"Schoharie County, NY",31097
"Seneca County, OH",55207
"Tioga County, PA",40763
"Tompkins County, NY",102793
"Ulster County, NY",178599
"Westchester County, NY",967612
"Wyoming County, WV",20786
"Yates County, NY",24841
"Alamance County, NC",166436
"Alleghany County, VA",14910
"Anson County, NC",24877
"Ashe County, NC",27109
"Avery County, NC",17505
"Beaufort County, SC",188715
"Bertie County, NC",19026
"Bladen County, NC",33190
"Brunswick County, VA",16384
"Buncombe County, NC",259103
"Cabarrus County, NC",211342
"Carteret County, NC",69524
"Caswell County, NC",22698
"Catawba County, NC",158652
"Chowan County, NC",14029
"Columbus County, NC",55655
"Craven County, NC",102912
"Currituck County, NC",27072
"Dare County, NC",36501
"Davidson County, TN",692587
"Davie County, NC",42733
"Duplin County, NC",58856
"Durham County, NC",316739
"Edgecombe County, NC",52005
"Gaston County, NC",222846
"Gates County, NC",11573
"Granville County, NC",60115
"Guilford County, NC",533670
"Halifax County, VA",34120
"Harnett County, NC",134214
"Haywood County, TN",17335
"Hertford County, NC",23659
"Hoke County, NC",54764
"Hyde County, SD",1282
"Iredell County, NC",178435
"Johnston County, OK",10949
"Lenoir County, NC",55976
"McDowell County, WV",18223
"Mecklenburg County, VA",30650
"Moore County, TX",21485
"Nash County, NC",94016
"New Hanover County, NC",232274
"Northampton County, VA",11735
"Onslow County, NC",197683
"Pamlico County, NC",12670
"Pasquotank County, NC",39639
"Pender County, NC",62162
"Perquimans County, NC",13422
"Person County, NC",39507
"Pitt County, NC",179914
"Robeson County, NC",131831
"Rutherford County, TN",324890
"Sampson County, NC",63626
"Stanly County, NC",62075
"Stokes County, NC",45467
"Surry County, VA",6474
"Swain County, NC",14245
"Transylvania County, NC",34215
"Tyrrell County, NC",4131
"Vance County, NC",44582
"Wake County, NC",1092305
"Watauga County, NC",55945
"Yadkin County, NC",37543
"Yancey County, NC",17903
"Barnes County, ND",10542
"Benson County, ND",6962
"Billings County, ND",919
"Bottineau County, ND",6411
"Bowman County, ND",3076
"Burleigh County, ND",95273
"Cavalier County, ND",3829
"Dickey County, ND",4903
"Divide County, ND",2283
"Dunn County, WI",45131
"Emmons County, ND",3295
"Foster County, ND",3216
"Grand Forks County, ND",70770
"Griggs County, ND",2232
"Hettinger County, ND",2514
"Kidder County, ND",2450
"LaMoure County, ND",4062
"McKenzie County, ND",13632
"Mountrail County, ND",10218
"Oliver County, ND",1952
"Pembina County, ND",6947
"Ransom County, ND",5237
"Rolette County, ND",14301
"Sargent County, ND",3870
"Slope County, ND",763
"Stutsman County, ND",20917
"Towner County, ND",2192
"Traill County, ND",8037
"Walsh County, ND",10667
"Ward County, TX",11720
"Williams County, OH",36804
"Ashland County, WI",15600
"Ashtabula County, OH",97493
"Athens County, OH",65818
"Auglaize County, OH",45804
"Belmont County, OH",67505
"Clermont County, OH",205466
"Columbiana County, OH",102665
"Coshocton County, OH",36629
"Cuyahoga County, OH",1243857
"Darke County, OH",51323
"Defiance County, OH",38165
"Gallia County, OH",29979
"Geauga County, OH",94031
"Guernsey County, OH",39022
"Highland County, VA",2210
"Hocking County, OH",28385
"Licking County, OH",175769
"Lorain County, OH",309461
"Mahoning County, OH",229642
"Medina County, TX",50921
"Meigs County, TN",12306
"Morrow County, OR",11372
"Muskingum County, OH",86183
"Pickaway County, OH",58086
"Portage County, WI",70942
"Preble County, OH",40997
"Ross County, OH",76931
"Sandusky County, OH",58799
"Scioto County, OH",75502
"Trumbull County, OH",198627
"Tuscarawas County, OH",92176
"Van Wert County, OH",28281
"Vinton County, OH",13139
"Wood County, WI",73055
"Wyandot County, OH",21935
"Alfalfa County, OK",5754
"Atoka County, OK",13838
"Beaver County, UT",6580
"Beckham County, OK",21709
"Caddo County, OK",28977
"Canadian County, OK",144447
"Cimarron County, OK",2153
"Coal County, OK",5520
"Cotton County, OK",5776
"Craig County, VA",5064
"Creek County, OK",71604
"Dewey County, SD",5904
"Garvin County, OK",27811
"Greer County, OK",5821
"Harmon County, OK",2664
"Hughes County, SD",17650
"Kay County, OK",44161
"Kingfisher County, OK",15816
"Latimer County, OK",10231
"Le Flore County, OK",49980
"Love County, OK",10134
"McClain County, OK",39985
"McCurtain County, OK",32703
"Major County, OK",7644
"Mayes County, OK",41107
"Muskogee County, OK",68362
"Nowata County, OK",10218
"Okfuskee County, OK",12098
"Oklahoma County, OK",792582
"Okmulgee County, OK",38335
"Payne County, OK",82040
"Pittsburg County, OK",43877
"Pushmataha County, OK",11179
"Roger Mills County, OK",3656
"Rogers County, OK",91984
"Sequoyah County, OK",41179
"Tillman County, OK",7348
"Tulsa County, OK",648360
"Wagoner County, OK",80110
"Washita County, OK",11127
"Woods County, OK",8897
"Woodward County, OK",20222
"Clackamas County, OR",416075
"Clatsop County, OR",39764
"Crook County, WY",7450
"Deschutes County, OR",191996
"Gilliam County, OR",1894
"Harney County, OR",7329
"Hood River County, OR",23428
"Josephine County, OR",87393
"Klamath County, OR",67653
"Malheur County, OR",30725
"Multnomah County, OR",811880
"Tillamook County, OR",26787
"Umatilla County, OR",77516
"Wallowa County, OR",7081
"Wasco County, OR",26505
"Yamhill County, OR",107002
"Allegheny County, PA",1218452
"Armstrong County, TX",1892
"Bedford County, VA",78747
"Berks County, PA",420152
"Blair County, PA",122492
"Bucks County, PA",628195
"Cambria County, PA",131730
"Cameron County, TX",423908
"Centre County, PA",162805
"Chester County, TN",17276
"Clarion County, PA",38779
"Clearfield County, PA",79388
"Dauphin County, PA",277097
"Forest County, WI",8991
"Huntingdon County, PA",45168
"Indiana County, PA",84501
"Juniata County, PA",24704
"Lackawanna County, PA",210793
"Lebanon County, PA",141314
"Lehigh County, PA",368100
"Luzerne County, PA",317646
"Lycoming County, PA",113664
"McKean County, PA",40968
"Mifflin County, PA",46222
"Montour County, PA",18240
"Northumberland County, VA",12147
"Philadelphia County, PA",1584138
"Potter County, TX",119648
"Schuylkill County, PA",142067
"Snyder County, PA",40540
"Susquehanna County, PA",40589
"Venango County, PA",51266
"Westmoreland County, VA",17830
"Newport County, RI",82542
"Providence County, RI",636084
"Abbeville County, SC",24541
"Aiken County, SC",169401
"Allendale County, SC",8903
"Bamberg County, SC",14275
"Barnwell County, SC",21112
"Berkeley County, WV",117123
"Charleston County, SC",405905
"Chesterfield County, VA",348556
"Clarendon County, SC",33700
"Colleton County, SC",37660
"Darlington County, SC",66802
"Dillon County, SC",30599
"Edgefield County, SC",27052
"Florence County, WI",4321
"Georgetown County, SC",62249
"Greenville County, SC",514213
"Hampton County, SC",19351
"Horry County, SC",344147
"Kershaw County, SC",65592
"Lexington County, SC",295032
"McCormick County, SC",9410
"Marlboro County, SC",26398
"Newberry County, SC",38520
"Orangeburg County, SC",86934
"Saluda County, SC",20544
"Spartanburg County, SC",313888
"Williamsburg County, SC",30606
"Aurora County, SD",2801
"Beadle County, SD",18883
"Bennett County, SD",3468
"Bon Homme County, SD",6980
"Brookings County, SD",35232
"Brule County, SD",5229
"Charles Mix County, SD",9338
"Codington County, SD",28015
"Corson County, SD",4165
"Davison County, SD",19790
"Day County, SD",5505
"Edmunds County, SD",3875
"Fall River County, SD",6758
"Faulk County, SD",2330
"Gregory County, SD",4212
"Haakon County, SD",1918
"Hamlin County, SD",6111
"Hand County, SD",3262
"Hanson County, SD",3376
"Hutchinson County, TX",21198
"Jerauld County, SD",2043
"Kingsbury County, SD",4919
"Lyman County, SD",3821
"McCook County, SD",5546
"Mellette County, SD",2042
"Miner County, SD",2213
"Minnehaha County, SD",192876
"Moody County, SD",6579
"Oglala Lakota County, SD",14309
"Roberts County, TX",903
"Sanborn County, SD",2429
"Spink County, SD",6495
"Stanley County, SD",3022
"Sully County, SD",1392
"Tripp County, SD",5478
"Walworth County, WI",103718
"Yankton County, SD",22869
"Ziebach County, SD",2742
"Bledsoe County, TN",14755
"Cannon County, TN",14462
"Cheatham County, TN",40439
"Cocke County, TN",35774
"Crockett County, TX",3499
"Dickson County, TN",53446
"Dyer County, TN",37320
"Fentress County, TN",18217
"Giles County, VA",16844
"Grainger County, TN",23145
"Hamblen County, TN",64569
"Hardeman County, TX",3922
"Hawkins County, TN",56530
"Loudon County, TN",53054
"McMinn County, TN",53285
"McNairy County, TN",25832
"Maury County, TN",94340
"Obion County, TN",30267
"Overton County, TN",22068
"Pickett County, TN",5082
"Rhea County, TN",33044
"Roane County, WV",13932
"Sequatchie County, TN",14876
"Trousdale County, TN",11012
"Unicoi County, TN",17761
"Weakley County, TN",33415
"Andrews County, TX",18128
"Angelina County, TX",87092
"Aransas County, TX",23792
"Archer County, TX",8786
"Atascosa County, TX",50310
"Austin County, TX",29989
"Bailey County, TX",7027
"Bandera County, TX",22824
"Bastrop County, TX",86976
"Baylor County, TX",3582
"Bee County, TX",32587
"Bexar County, TX",1986049
"Blanco County, TX",11702
"Borden County, TX",648
"Bosque County, TX",18691
"Bowie County, TX",94324
"Brazoria County, TX",370200
"Brazos County, TX",226758
"Brewster County, TX",9267
"Briscoe County, TX",1516
"Burleson County, TX",18389
"Burnet County, TX",47542
"Callahan County, TX",13994
"Camp County, TX",13033
"Carson County, TX",6005
"Castro County, TX",7665
"Childress County, TX",7291
"Cochran County, TX",2836
"Coke County, TX",3370
"Coleman County, TX",8397
"Collin County, TX",1005146
"Collingsworth County, TX",2962
"Colorado County, TX",21217
"Comal County, TX",148373
"Concho County, TX",4276
"Cooke County, TX",40574
"Coryell County, TX",74808
"Cottle County, TX",1389
"Crane County, TX",4794
"Crosby County, TX",5779
"Culberson County, TX",2204
"Dallam County, TX",7200
"Deaf Smith County, TX",18760
"Denton County, TX",859064
"DeWitt County, TX",20187
"Dickens County, TX",2249
"Dimmit County, TX",10308
"Donley County, TX",3319
"Eastland County, TX",18322
"Ector County, TX",162124
"Erath County, TX",42446
"Falls County, TX",17335
"Fisher County, TX",3839
"Foard County, TX",1200
"Fort Bend County, TX",787858
"Freestone County, TX",19808
"Frio County, TX",19816
"Gaines County, TX",20901
"Galveston County, TX",337890
"Garza County, TX",6578
"Gillespie County, TX",26804
"Glasscock County, TX",1388
"Goliad County, TX",7584
"Gonzales County, TX",20826
"Gregg County, TX",123707
"Grimes County, TX",28360
"Hansford County, TX",5463
"Hartley County, TX",5619
"Hays County, TX",222631
"Hemphill County, TX",3825
"Hockley County, TX",22980
"Hood County, TX",60537
"Hudspeth County, TX",4795
"Hunt County, TX",96493
"Irion County, TX",1522
"Jack County, TX",8843
"Jim Hogg County, TX",5248
"Jim Wells County, TX",40822
"Karnes County, TX",15650
"Kaufman County, TX",128622
"Kenedy County, TX",442
"Kerr County, TX",52405
"Kimble County, TX",4362
"King County, WA",2233163
"Kinney County, TX",3767
"Kleberg County, TX",31129
"Lamb County, TX",13158
"Lampasas County, TX",21229
"La Salle County, TX",7531
"Lavaca County, TX",20110
"Lipscomb County, TX",3355
"Live Oak County, TX",12166
"Llano County, TX",21646
"Loving County, TX",152
"Lubbock County, TX",307412
"Lynn County, TX",5877
"McCulloch County, TX",7987
"McLennan County, TX",254607
"McMullen County, TX",749
"Matagorda County, TX",36552
"Maverick County, TX",58485
"Milam County, TX",25131
"Montague County, TX",19596
"Motley County, TX",1234
"Nacogdoches County, TX",65711
"Navarro County, TX",49565
"Nolan County, TX",14751
"Nueces County, TX",362265
"Ochiltree County, TX",9947
"Palo Pinto County, TX",28875
"Parker County, TX",138371
"Parmer County, TX",9864
"Pecos County, TX",15673
"Presidio County, TX",6948
"Rains County, TX",12159
"Randall County, TX",136271
"Reagan County, TX",3741
"Real County, TX",3478
"Red River County, TX",12175
"Reeves County, TX",15695
"Refugio County, TX",7032
"Rockwall County, TX",100657
"Runnels County, TX",10234
"Rusk County, WI",14147
"Sabine County, TX",10589
"San Augustine County, TX",8232
"San Jacinto County, TX",28719
"San Patricio County, TX",66893
"San Saba County, TX",6054
"Schleicher County, TX",2895
"Scurry County, TX",16866
"Shackelford County, TX",3253
"Somervell County, TX",9016
"Starr County, TX",64525
"Sterling County, TX",1311
"Stonewall County, TX",1362
"Sutton County, TX",3758
"Swisher County, TX",7462
"Tarrant County, TX",2084931
"Terry County, TX",12287
"Throckmorton County, TX",1515
"Titus County, TX",33033
"Tom Green County, TX",118189
"Travis County, TX",1248743
"Tyler County, WV",8746
"Upshur County, WV",24415
"Upton County, TX",3671
"Uvalde County, TX",26846
"Val Verde County, TX",49208
"Van Zandt County, TX",56019
"Victoria County, TX",92035
"Waller County, TX",53126
"Webb County, TX",275910
"Wharton County, TX",41619
"Wilbarger County, TX",12820
"Willacy County, TX",21515
"Winkler County, TX",7720
"Wise County, VA",38012
"Yoakum County, TX",8591
"Young County, TX",18045
"Zapata County, TX",14190
"Zavala County, TX",11983
"Box Elder County, UT",54950
"Cache County, UT",127068
"Daggett County, UT",980
"Duchesne County, UT",19964
"Emery County, UT",10014
"Juab County, UT",11555
"Millard County, UT",13006
"Piute County, UT",1445
"Rich County, UT",2464
"Salt Lake County, UT",1152633
"Sanpete County, UT",30623
"Tooele County, UT",69907
"Uintah County, UT",35438
"Utah County, UT",622213
"Wasatch County, UT",33240
"Weber County, UT",256359
"Addison County, VT",36973
"Bennington County, VT",35631
"Caledonia County, VT",30302
"Chittenden County, VT",164572
"Grand Isle County, VT",7090
"Lamoille County, VT",25300
"Rutland County, VT",58672
"Windsor County, VT",55286
"Accomack County, VA",32412
"Albemarle County, VA",108718
"Amelia County, VA",13013
"Amherst County, VA",31666
"Appomattox County, VA",15841
"Arlington County, VA",237521
"Augusta County, VA",75457
"Bland County, VA",6293
"Botetourt County, VA",33277
"Buckingham County, VA",16999
"Charles City County, VA",6941
"Culpeper County, VA",51859
"Dickenson County, VA",14523
"Dinwiddie County, VA",28529
"Fairfax County, VA",1150795
"Fauquier County, VA",70675
"Fluvanna County, VA",26783
"Goochland County, VA",23244
"Greensville County, VA",11627
"Hanover County, VA",107239
"Henrico County, VA",329261
"Isle of Wight County, VA",36953
"James City County, VA",76397
"King and Queen County, VA",7042
"King George County, VA",26575
"King William County, VA",16939
"Loudoun County, VA",406850
"Lunenburg County, VA",12086
"Mathews County, VA",8802
"New Kent County, VA",22391
"Nottoway County, VA",15420
"Patrick County, VA",17673
"Pittsylvania County, VA",60949
"Powhatan County, VA",29189
"Prince Edward County, VA",22950
"Prince George County, VA",38082
"Prince William County, VA",468011
"Rappahannock County, VA",7252
"Roanoke County, VA",94073
"Rockbridge County, VA",22752
"Shenandoah County, VA",43497
"Smyth County, VA",30472
"Southampton County, VA",17586
"Spotsylvania County, VA",134238
"Wythe County, VA",28754
"Alexandria city, VA",160530
"Bristol city, VA",16482
"Buena Vista city, VA",6237
"Charlottesville city, VA",48117
"Chesapeake city, VA",242634
"Colonial Heights city, VA",17833
"Covington city, VA",5460
"Danville city, VA",40693
"Emporia city, VA",5121
"Fairfax city, VA",24574
"Falls Church city, VA",14772
"Franklin city, VA",8013
"Fredericksburg city, VA",29144
"Galax city, VA",6423
"Hampton city, VA",134313
"Harrisonburg city, VA",54033
"Hopewell city, VA",22596
"Lexington city, VA",7136
"Lynchburg city, VA",82126
"Manassas city, VA",41641
"Manassas Park city, VA",17307
"Martinsville city, VA",12902
"Newport News city, VA",178626
"Norfolk city, VA",244076
"Norton city, VA",3968
"Petersburg city, VA",31567
"Poquoson city, VA",12190
"Portsmouth city, VA",94632
"Radford city, VA",18339
"Richmond city, VA",228783
"Roanoke city, VA",99920
"Salem city, VA",25643
"Staunton city, VA",24922
"Suffolk city, VA",91185
"Virginia Beach city, VA",450189
"Waynesboro city, VA",22628
"Williamsburg city, VA",14896
"Winchester city, VA",28108
"Asotin County, WA",22610
"Chelan County, WA",77036
"Clallam County, WA",76737
"Cowlitz County, WA",108987
"Ferry County, WA",7649
"Grays Harbor County, WA",73901
"Island County, WA",84460
"Kitsap County, WA",269805
"Kittitas County, WA",47364
"Klickitat County, WA",22107
"Okanogan County, WA",42132
"Pacific County, WA",22036
"Pend Oreille County, WA",13602
"Skagit County, WA",128206
"Skamania County, WA",11924
"Snohomish County, WA",814901
"Spokane County, WA",514631
"Wahkiakum County, WA",4426
"Walla Walla County, WA",60922
"Whatcom County, WA",225685
"Whitman County, WA",49791
"Yakima County, WA",251446
"Braxton County, WV",14089
"Brooke County, WV",22203
"Cabell County, WV",93224
"Doddridge County, WV",8406
"Greenbrier County, WV",34786
"Hardy County, WV",13775
"Kanawha County, WV",180454
"Mingo County, WV",23785
"Monongalia County, WV",106420
"Pleasants County, WV",7507
"Preston County, WV",33839
"Raleigh County, WV",74254
"Ritchie County, WV",9721
"Summers County, WV",12760
"Tucker County, WV",6955
"Wetzel County, WV",15270
"Wirt County, WV",5830
"Barron County, WI",45164
"Bayfield County, WI",15042
"Burnett County, WI",15392
"Calumet County, WI",50159
"Dane County, WI",542364
"Door County, WI",27610
"Eau Claire County, WI",104534
"Fond du Lac County, WI",103066
"Green Lake County, WI",18918
"Juneau County, WI",26617
"Kenosha County, WI",169290
"Kewaunee County, WI",20383
"La Crosse County, WI",118230
"Langlade County, WI",19268
"Manitowoc County, WI",79074
"Marathon County, WI",135428
"Marinette County, WI",40434
"Milwaukee County, WI",948201
"Oconto County, WI",37830
"Outagamie County, WI",187365
"Ozaukee County, WI",89147
"Pepin County, WI",7289
"Price County, WI",13397
"Racine County, WI",196584
"St. Croix County, WI",89694
"Sauk County, WI",64249
"Sawyer County, WI",16489
"Shawano County, WI",40796
"Sheboygan County, WI",115456
"Trempealeau County, WI",29442
"Vilas County, WI",21938
"Washburn County, WI",15878
"Waukesha County, WI",403072
"Waupaca County, WI",51128
"Waushara County, WI",24263
"Converse County, WY",13640
"Goshen County, WY",13376
"Hot Springs County, WY",4555
"Laramie County, WY",98976
"Natrona County, WY",79115
"Niobrara County, WY",2388
"Sublette County, WY",9813
"Sweetwater County, WY",43051
"Uinta County, WY",20299
"Washakie County, WY",7885
"Weston County, WY",6967
